id,title,publisher,date,url,scope
S01,Chess.com User Agreement,Chess.com,2026,https://www.chess.com/legal/user-agreement,"AI access, copying, competitive-product and automated-access restrictions"
S02,What is the PubAPI and how do I use it?,Chess.com Help Center,2026-04-20,https://support.chess.com/en/articles/9650547-what-is-the-pubapi-and-how-do-i-use-it,"Read-only public API, data boundaries, rate behavior, brand and IP warning"
S03,How can I play against the Chess.com bots?,Chess.com Help Center,2026-08,https://support.chess.com/en/articles/8614091-how-can-i-play-against-the-chess-com-bots,"Bot roster, adaptive personalities, unrated games, Komodo-powered experience"
S04,How do I play against the Coach?,Chess.com Help Center,2026-04-17,https://support.chess.com/en/articles/10877257-how-do-i-play-against-the-coach,"Live coaching flow, hints, undo, arrows, evaluation, autosave and limits"
S05,How does Game Review work?,Chess.com Help Center,2026-08-07,https://support.chess.com/en/articles/8584089-how-does-game-review-work,"Highlights, coach feedback, key moves, retries, settings and review navigation"
S06,How do I use Game Analysis?,Chess.com Help Center,2025-03-12,https://support.chess.com/en/articles/8583757-how-do-i-use-game-analysis,"Self-analysis, engine lines, arrows, charts, annotations and saves"
S07,What is Cloud Analysis and how do I use it?,Chess.com Help Center,2025-03-19,https://support.chess.com/en/articles/8646880-what-is-cloud-analysis-and-how-do-i-use-it,"Server-side deeper analysis, membership gating and engine controls"
S08,How do I use Game Collections?,Chess.com Help Center,2026-04-18,https://support.chess.com/en/articles/13557248-how-do-i-use-game-collections,"Collections, privacy, collaboration, community collections and bookmarks"
S09,What is the Game Explorer?,Chess.com Help Center,2025-07-30,https://support.chess.com/en/articles/8615183-what-is-the-game-explorer,"Master database, personal games, move frequency, outcomes and notable games"
S10,How do Puzzles work on Chess.com?,Chess.com Help Center,2026-09,https://support.chess.com/en/articles/8608686-how-do-puzzles-work-on-chess-com,"Rated puzzles, Rush, Battle, Daily, Custom, limits and histories"
S11,What is Puzzle Battle on Chess.com?,Chess.com Help Center,2025-06-24,https://support.chess.com/en/articles/8708930-what-is-puzzle-battle-on-chess-com,"Competitive tactics, matchmaking, timing, mistakes and scoring"
