id,domain,screen,platform,auth,status,purpose
SCR-001,Acquisition & Onboarding,Marketing landing,Web + responsive,Mixed,Mapped,Marketing landing state for the acquisition & onboarding workflow.
SCR-002,Acquisition & Onboarding,Sign up,Web + responsive,Mixed,Mapped,Sign up state for the acquisition & onboarding workflow.
SCR-003,Acquisition & Onboarding,Sign in,Web + responsive,Mixed,Mapped,Sign in state for the acquisition & onboarding workflow.
SCR-004,Acquisition & Onboarding,Account recovery,Web + responsive,Mixed,Mapped,Account recovery state for the acquisition & onboarding workflow.
SCR-005,Acquisition & Onboarding,Age and consent,Web + responsive,Mixed,Mapped,Age and consent state for the acquisition & onboarding workflow.
SCR-006,Acquisition & Onboarding,Skill calibration,Web + responsive,Mixed,Mapped,Skill calibration state for the acquisition & onboarding workflow.
SCR-007,Acquisition & Onboarding,Goal selection,Web + responsive,Mixed,Mapped,Goal selection state for the acquisition & onboarding workflow.
SCR-008,Acquisition & Onboarding,Coach selection,Web + responsive,Mixed,Mapped,Coach selection state for the acquisition & onboarding workflow.
SCR-009,Acquisition & Onboarding,Plan education,Web + responsive,Mixed,Mapped,Plan education state for the acquisition & onboarding workflow.
SCR-010,Acquisition & Onboarding,First move tutorial,Web + responsive,Mixed,Mapped,First move tutorial state for the acquisition & onboarding workflow.
SCR-011,Home & Personalization,Personal home,Web + responsive,Mixed,Prototype,Personal home state for the home & personalization workflow.
SCR-012,Home & Personalization,Edit home modules,Web + responsive,Mixed,Mapped,Edit home modules state for the home & personalization workflow.
SCR-013,Home & Personalization,Continue activity drawer,Web + responsive,Mixed,Mapped,Continue activity drawer state for the home & personalization workflow.
SCR-014,Home & Personalization,Quick play card,Web + responsive,Mixed,Mapped,Quick play card state for the home & personalization workflow.
SCR-015,Home & Personalization,Daily learning card,Web + responsive,Mixed,Mapped,Daily learning card state for the home & personalization workflow.
SCR-016,Home & Personalization,Progress pulse,Web + responsive,Mixed,Mapped,Progress pulse state for the home & personalization workflow.
SCR-017,Home & Personalization,Event carousel,Web + responsive,Mixed,Mapped,Event carousel state for the home & personalization workflow.
SCR-018,Home & Personalization,Social inbox,Web + responsive,Mixed,Mapped,Social inbox state for the home & personalization workflow.
SCR-019,Home & Personalization,Streak detail,Web + responsive,Mixed,Mapped,Streak detail state for the home & personalization workflow.
SCR-020,Live Play,New game,Web + responsive,Mixed,Prototype,New game state for the live play workflow.
SCR-021,Live Play,Time control picker,Web + responsive,Mixed,Mapped,Time control picker state for the live play workflow.
SCR-022,Live Play,Custom challenge,Web + responsive,Mixed,Mapped,Custom challenge state for the live play workflow.
SCR-023,Live Play,Open challenges list,Web + responsive,Mixed,Mapped,Open challenges list state for the live play workflow.
SCR-024,Live Play,Open challenges chart,Web + responsive,Mixed,Mapped,Open challenges chart state for the live play workflow.
SCR-025,Live Play,Matchmaking queue,Web + responsive,Mixed,Mapped,Matchmaking queue state for the live play workflow.
SCR-026,Live Play,Live board desktop,Web + responsive,Mixed,Prototype,Live board desktop state for the live play workflow.
SCR-027,Live Play,Live board mobile,Web + responsive,Mixed,Mapped,Live board mobile state for the live play workflow.
SCR-028,Live Play,Focus mode,Web + responsive,Mixed,Mapped,Focus mode state for the live play workflow.
SCR-029,Live Play,Promotion chooser,Web + responsive,Mixed,Mapped,Promotion chooser state for the live play workflow.
SCR-030,Live Play,Reconnect state,Web + responsive,Mixed,Mapped,Reconnect state state for the live play workflow.
SCR-031,Live Play,Game result modal,Web + responsive,Mixed,Mapped,Game result modal state for the live play workflow.
