id,domain,capability,requirement,priority,phase,status,mapping,sources
CAP-001,Acquisition & Onboarding,Landing proposition,"Explain play, learn, review and community value without requiring authentication.",P0,Foundation,Prototype,"Reference capability mapped; ChessLab implementation must use original UX, copy and assets.",S33
CAP-002,Acquisition & Onboarding,Multi-method registration,"Support email, phone and federated sign-in choices with duplicate-account protection.",P0,Foundation,Prototype,"Reference capability mapped; ChessLab implementation must use original UX, copy and assets.",S29
CAP-003,Acquisition & Onboarding,Age and consent gate,Collect age band and parental consent where required before social features unlock.,P0,Foundation,Prototype,"Reference capability mapped; ChessLab implementation must use original UX, copy and assets.",S32
CAP-004,Acquisition & Onboarding,Skill calibration,"Ask for experience or infer a starting band, then tune onboarding content and bot strength.",P1,Growth,Mapped,"Reference capability mapped; ChessLab implementation must use original UX, copy and assets.","S12,S03"
CAP-005,Acquisition & Onboarding,Goal selection,"Let users choose play, rating improvement, tactics, openings or casual learning goals.",P1,Growth,Mapped,"Reference capability mapped; ChessLab implementation must use original UX, copy and assets.","S12,S13"
CAP-006,Acquisition & Onboarding,Coach preference,"Choose a coaching personality, voice and feedback intensity with neutral default.",P1,Coach,Mapped,"Reference capability mapped; ChessLab implementation must use original UX, copy and assets.",S04
CAP-007,Acquisition & Onboarding,First success path,"Guide a new learner through one legal move, one explanation and one saved progress event.",P0,Foundation,Prototype,"Reference capability mapped; ChessLab implementation must use original UX, copy and assets.","S04,S12"
CAP-008,Acquisition & Onboarding,Trial and plan education,Explain free limits and premium value before checkout without hiding core play.,P1,Commerce,Mapped,"Reference capability mapped; ChessLab implementation must use original UX, copy and assets.",S33
CAP-009,Home & Personalization,Modular home dashboard,"Allow home modules to be reordered, shown or hidden per user.",P1,Growth,Mapped,"Reference capability mapped; ChessLab implementation must use original UX, copy and assets.",S22
CAP-010,Home & Personalization,Continue activity,"Surface active games, unfinished lessons, analysis drafts and branch conversations.",P0,Foundation,Prototype,"Reference capability mapped; ChessLab implementation must use original UX, copy and assets.","S20,S08"
CAP-011,Home & Personalization,Quick play launcher,Start a default game from the home surface in one action.,P0,Foundation,Prototype,"Reference capability mapped; ChessLab implementation must use original UX, copy and assets.",S19
CAP-012,Home & Personalization,Daily learning card,Offer a daily puzzle or lesson with streak credit and recovery state.,P1,Learning,Mapped,"Reference capability mapped; ChessLab implementation must use original UX, copy and assets.",S10
CAP-013,Home & Personalization,Progress pulse,"Summarize rating trends, accuracy, recent mistakes and recommended next action.",P1,Insights,Mapped,"Reference capability mapped; ChessLab implementation must use original UX, copy and assets.","S23,S24,S25"
CAP-014,Home & Personalization,Event discovery,Show current and upcoming broadcasts or tournaments relevant to the user.,P2,Community,Mapped,"Reference capability mapped; ChessLab implementation must use original UX, copy and assets.","S26,S15"
CAP-015,Home & Personalization,Social inbox summary,"Aggregate friend requests, messages, club activity and notifications.",P2,Community,Mapped,"Reference capability mapped; ChessLab implementation must use original UX, copy and assets.","S28,S27"
CAP-016,Home & Personalization,Streaks and habits,"Track consecutive active days across play, puzzles, lessons and review.",P2,Growth,Mapped,"Reference capability mapped; ChessLab implementation must use original UX, copy and assets.",S10
CAP-017,Live Play,Time control presets,"Support standard Bullet, Blitz, Rapid and custom initial-plus-increment clocks.",P0,Play,Mapped,"Reference capability mapped; ChessLab implementation must use original UX, copy and assets.",S19
CAP-018,Live Play,Rated or casual toggle,Allow rated and unrated challenges with clear consequences.,P0,Play,Mapped,"Reference capability mapped; ChessLab implementation must use original UX, copy and assets.",S19
CAP-019,Live Play,Rating range controls,Set relative opponent rating bounds and warn about queue impact.,P1,Play,Mapped,"Reference capability mapped; ChessLab implementation must use original UX, copy and assets.",S19
CAP-020,Live Play,Fast matchmaking,"Search narrow first, expand safely, and respect blocks and abuse controls.",P0,Play,Mapped,"Reference capability mapped; ChessLab implementation must use original UX, copy and assets.","S19,S32"
CAP-021,Live Play,Direct challenge,Challenge a friend or named user with shareable acceptance state.,P1,Play,Mapped,"Reference capability mapped; ChessLab implementation must use original UX, copy and assets.",S28
