map_id,domain,reference_capability,public_evidence_ids,public_evidence_titles,chesslab_requirement,functional_requirement_id,acceptance,representative_screen_ids,priority,phase,prototype_status,clean_room_boundary
MAP-001,Acquisition & Onboarding,Landing proposition,S33,Improve Your Chess with a Premium Membership,"Explain play, learn, review and community value without requiring authentication.",FR-001,"Given an eligible user and valid starting state, when the ""Landing proposition"" workflow is exercised, ChessLab shall explain play, learn, review and community value without requiring authentication; verify that success, validation failure, denied access, empty/loading state, persistence and analytics are covered on desktop and mobile.","SCR-001,SCR-002,SCR-003,SCR-004",P0,Foundation,Prototype,"Map public behavior and user outcome; implement original ChessLab information architecture, copy, visual design, assets and code."
MAP-002,Acquisition & Onboarding,Multi-method registration,S29,How do I manage my settings?,"Support email, phone and federated sign-in choices with duplicate-account protection.",FR-002,"Given an eligible user and valid starting state, when the ""Multi-method registration"" workflow is exercised, ChessLab shall support email, phone and federated sign-in choices with duplicate-account protection; verify that success, validation failure, denied access, empty/loading state, persistence and analytics are covered on desktop and mobile.","SCR-001,SCR-002,SCR-003,SCR-004",P0,Foundation,Prototype,"Map public behavior and user outcome; implement original ChessLab information architecture, copy, visual design, assets and code."
MAP-003,Acquisition & Onboarding,Age and consent gate,S32,What is safe mode on Chess.com?,Collect age band and parental consent where required before social features unlock.,FR-003,"Given an eligible user and valid starting state, when the ""Age and consent gate"" workflow is exercised, ChessLab shall collect age band and parental consent where required before social features unlock; verify that success, validation failure, denied access, empty/loading state, persistence and analytics are covered on desktop and mobile.","SCR-001,SCR-002,SCR-003,SCR-004",P0,Foundation,Prototype,"Map public behavior and user outcome; implement original ChessLab information architecture, copy, visual design, assets and code."
MAP-004,Acquisition & Onboarding,Skill calibration,"S12,S03","How do Lessons work on Chess.com?,How can I play against the Chess.com bots?","Ask for experience or infer a starting band, then tune onboarding content and bot strength.",FR-004,"Given an eligible user and valid starting state, when the ""Skill calibration"" workflow is exercised, ChessLab shall ask for experience or infer a starting band, then tune onboarding content and bot strength; verify that success, validation failure, denied access, empty/loading state, persistence and analytics are covered on desktop and mobile.","SCR-001,SCR-002,SCR-003,SCR-004",P1,Growth,Mapped,"Map public behavior and user outcome; implement original ChessLab information architecture, copy, visual design, assets and code."
MAP-005,Acquisition & Onboarding,Goal selection,"S12,S13","How do Lessons work on Chess.com?,What is Practice on Chess.com?","Let users choose play, rating improvement, tactics, openings or casual learning goals.",FR-005,"Given an eligible user and valid starting state, when the ""Goal selection"" workflow is exercised, ChessLab shall let users choose play, rating improvement, tactics, openings or casual learning goals; verify that success, validation failure, denied access, empty/loading state, persistence and analytics are covered on desktop and mobile.","SCR-001,SCR-002,SCR-003,SCR-004",P1,Growth,Mapped,"Map public behavior and user outcome; implement original ChessLab information architecture, copy, visual design, assets and code."
MAP-006,Acquisition & Onboarding,Coach preference,S04,How do I play against the Coach?,"Choose a coaching personality, voice and feedback intensity with neutral default.",FR-006,"Given an eligible user and valid starting state, when the ""Coach preference"" workflow is exercised, ChessLab shall choose a coaching personality, voice and feedback intensity with neutral default; verify that success, validation failure, denied access, empty/loading state, persistence and analytics are covered on desktop and mobile.","SCR-001,SCR-002,SCR-003,SCR-004",P1,Coach,Mapped,"Map public behavior and user outcome; implement original ChessLab information architecture, copy, visual design, assets and code."
MAP-007,Acquisition & Onboarding,First success path,"S04,S12","How do I play against the Coach?,How do Lessons work on Chess.com?","Guide a new learner through one legal move, one explanation and one saved progress event.",FR-007,"Given an eligible user and valid starting state, when the ""First success path"" workflow is exercised, ChessLab shall guide a new learner through one legal move, one explanation and one saved progress event; verify that success, validation failure, denied access, empty/loading state, persistence and analytics are covered on desktop and mobile.","SCR-001,SCR-002,SCR-003,SCR-004",P0,Foundation,Prototype,"Map public behavior and user outcome; implement original ChessLab information architecture, copy, visual design, assets and code."
MAP-008,Acquisition & Onboarding,Trial and plan education,S33,Improve Your Chess with a Premium Membership,Explain free limits and premium value before checkout without hiding core play.,FR-008,"Given an eligible user and valid starting state, when the ""Trial and plan education"" workflow is exercised, ChessLab shall explain free limits and premium value before checkout without hiding core play; verify that success, validation failure, denied access, empty/loading state, persistence and analytics are covered on desktop and mobile.","SCR-001,SCR-002,SCR-003,SCR-004",P1,Commerce,Mapped,"Map public behavior and user outcome; implement original ChessLab information architecture, copy, visual design, assets and code."
MAP-009,Home & Personalization,Modular home dashboard,S22,How can I change my homepage?,"Allow home modules to be reordered, shown or hidden per user.",FR-009,"Given an eligible user and valid starting state, when the ""Modular home dashboard"" workflow is exercised, ChessLab shall allow home modules to be reordered, shown or hidden per user; verify that success, validation failure, denied access, empty/loading state, persistence and analytics are covered on desktop and mobile.","SCR-011,SCR-012,SCR-013,SCR-014",P1,Growth,Mapped,"Map public behavior and user outcome; implement original ChessLab information architecture, copy, visual design, assets and code."
MAP-010,Home & Personalization,Continue activity,"S20,S08","How do I view my own games?,How do I use Game Collections?","Surface active games, unfinished lessons, analysis drafts and branch conversations.",FR-010,"Given an eligible user and valid starting state, when the ""Continue activity"" workflow is exercised, ChessLab shall surface active games, unfinished lessons, analysis drafts and branch conversations; verify that the result survives reload and a stale concurrent write returns an explicit conflict instead of silent loss.","SCR-011,SCR-012,SCR-013,SCR-014",P0,Foundation,Prototype,"Map public behavior and user outcome; implement original ChessLab information architecture, copy, visual design, assets and code."
MAP-011,Home & Personalization,Quick play launcher,S19,How does matchmaking work in Live Chess?,Start a default game from the home surface in one action.,FR-011,"Given an eligible user and valid starting state, when the ""Quick play launcher"" workflow is exercised, ChessLab shall start a default game from the home surface in one action; verify that success, validation failure, denied access, empty/loading state, persistence and analytics are covered on desktop and mobile.","SCR-011,SCR-012,SCR-013,SCR-014",P0,Foundation,Prototype,"Map public behavior and user outcome; implement original ChessLab information architecture, copy, visual design, assets and code."
MAP-012,Home & Personalization,Daily learning card,S10,How do Puzzles work on Chess.com?,Offer a daily puzzle or lesson with streak credit and recovery state.,FR-012,"Given an eligible user and valid starting state, when the ""Daily learning card"" workflow is exercised, ChessLab shall offer a daily puzzle or lesson with streak credit and recovery state; verify that success, validation failure, denied access, empty/loading state, persistence and analytics are covered on desktop and mobile.","SCR-011,SCR-012,SCR-013,SCR-014",P1,Learning,Mapped,"Map public behavior and user outcome; implement original ChessLab information architecture, copy, visual design, assets and code."
MAP-013,Home & Personalization,Progress pulse,"S23,S24,S25","How can I see my opening stats?,What is Insights on Chess.com?,How do I use Advanced Stats?","Summarize rating trends, accuracy, recent mistakes and recommended next action.",FR-013,"Given an eligible user and valid starting state, when the ""Progress pulse"" workflow is exercised, ChessLab shall summarize rating trends, accuracy, recent mistakes and recommended next action; verify that success, validation failure, denied access, empty/loading state, persistence and analytics are covered on desktop and mobile.","SCR-011,SCR-012,SCR-013,SCR-014",P1,Insights,Mapped,"Map public behavior and user outcome; implement original ChessLab information architecture, copy, visual design, assets and code."
MAP-014,Home & Personalization,Event discovery,"S26,S15","What is ChessTV?,How do live tournaments work?",Show current and upcoming broadcasts or tournaments relevant to the user.,FR-014,"Given an eligible user and valid starting state, when the ""Event discovery"" workflow is exercised, ChessLab shall show current and upcoming broadcasts or tournaments relevant to the user; verify that empty, loading, no-result, permission-filtered and paginated states are covered.","SCR-011,SCR-012,SCR-013,SCR-014",P2,Community,Mapped,"Map public behavior and user outcome; implement original ChessLab information architecture, copy, visual design, assets and code."
MAP-015,Home & Personalization,Social inbox summary,"S28,S27","How do I open a chat window with my friend?,How do Chess.com clubs work?","Aggregate friend requests, messages, club activity and notifications.",FR-015,"Given an eligible user and valid starting state, when the ""Social inbox summary"" workflow is exercised, ChessLab shall aggregate friend requests, messages, club activity and notifications; verify that success, validation failure, denied access, empty/loading state, persistence and analytics are covered on desktop and mobile.","SCR-011,SCR-012,SCR-013,SCR-014",P2,Community,Mapped,"Map public behavior and user outcome; implement original ChessLab information architecture, copy, visual design, assets and code."
MAP-016,Home & Personalization,Streaks and habits,S10,How do Puzzles work on Chess.com?,"Track consecutive active days across play, puzzles, lessons and review.",FR-016,"Given an eligible user and valid starting state, when the ""Streaks and habits"" workflow is exercised, ChessLab shall track consecutive active days across play, puzzles, lessons and review; verify that success, validation failure, denied access, empty/loading state, persistence and analytics are covered on desktop and mobile.","SCR-011,SCR-012,SCR-013,SCR-014",P2,Growth,Mapped,"Map public behavior and user outcome; implement original ChessLab information architecture, copy, visual design, assets and code."
MAP-017,Live Play,Time control presets,S19,How does matchmaking work in Live Chess?,"Support standard Bullet, Blitz, Rapid and custom initial-plus-increment clocks.",FR-017,"Given an eligible user and valid starting state, when the ""Time control presets"" workflow is exercised, ChessLab shall support standard Bullet, Blitz, Rapid and custom initial-plus-increment clocks; verify that legal state, turn, clock or deadline, result and rating consequences are server-authoritative and consistent after reconnect.","SCR-020,SCR-021,SCR-022,SCR-023",P0,Play,Mapped,"Map public behavior and user outcome; implement original ChessLab information architecture, copy, visual design, assets and code."
