id,type,domain,title,statement,priority,phase,acceptance,sources
FR-001,Functional,Acquisition & Onboarding,Landing proposition,"Explain play, learn, review and community value without requiring authentication.",P0,Foundation,"Given an eligible user and valid starting state, when the ""Landing proposition"" workflow is exercised, ChessLab shall explain play, learn, review and community value without requiring authentication; verify that success, validation failure, denied access, empty/loading state, persistence and analytics are covered on desktop and mobile.",S33
FR-002,Functional,Acquisition & Onboarding,Multi-method registration,"Support email, phone and federated sign-in choices with duplicate-account protection.",P0,Foundation,"Given an eligible user and valid starting state, when the ""Multi-method registration"" workflow is exercised, ChessLab shall support email, phone and federated sign-in choices with duplicate-account protection; verify that success, validation failure, denied access, empty/loading state, persistence and analytics are covered on desktop and mobile.",S29
FR-003,Functional,Acquisition & Onboarding,Age and consent gate,Collect age band and parental consent where required before social features unlock.,P0,Foundation,"Given an eligible user and valid starting state, when the ""Age and consent gate"" workflow is exercised, ChessLab shall collect age band and parental consent where required before social features unlock; verify that success, validation failure, denied access, empty/loading state, persistence and analytics are covered on desktop and mobile.",S32
FR-004,Functional,Acquisition & Onboarding,Skill calibration,"Ask for experience or infer a starting band, then tune onboarding content and bot strength.",P1,Growth,"Given an eligible user and valid starting state, when the ""Skill calibration"" workflow is exercised, ChessLab shall ask for experience or infer a starting band, then tune onboarding content and bot strength; verify that success, validation failure, denied access, empty/loading state, persistence and analytics are covered on desktop and mobile.","S12,S03"
FR-005,Functional,Acquisition & Onboarding,Goal selection,"Let users choose play, rating improvement, tactics, openings or casual learning goals.",P1,Growth,"Given an eligible user and valid starting state, when the ""Goal selection"" workflow is exercised, ChessLab shall let users choose play, rating improvement, tactics, openings or casual learning goals; verify that success, validation failure, denied access, empty/loading state, persistence and analytics are covered on desktop and mobile.","S12,S13"
FR-006,Functional,Acquisition & Onboarding,Coach preference,"Choose a coaching personality, voice and feedback intensity with neutral default.",P1,Coach,"Given an eligible user and valid starting state, when the ""Coach preference"" workflow is exercised, ChessLab shall choose a coaching personality, voice and feedback intensity with neutral default; verify that success, validation failure, denied access, empty/loading state, persistence and analytics are covered on desktop and mobile.",S04
FR-007,Functional,Acquisition & Onboarding,First success path,"Guide a new learner through one legal move, one explanation and one saved progress event.",P0,Foundation,"Given an eligible user and valid starting state, when the ""First success path"" workflow is exercised, ChessLab shall guide a new learner through one legal move, one explanation and one saved progress event; verify that success, validation failure, denied access, empty/loading state, persistence and analytics are covered on desktop and mobile.","S04,S12"
FR-008,Functional,Acquisition & Onboarding,Trial and plan education,Explain free limits and premium value before checkout without hiding core play.,P1,Commerce,"Given an eligible user and valid starting state, when the ""Trial and plan education"" workflow is exercised, ChessLab shall explain free limits and premium value before checkout without hiding core play; verify that success, validation failure, denied access, empty/loading state, persistence and analytics are covered on desktop and mobile.",S33
FR-009,Functional,Home & Personalization,Modular home dashboard,"Allow home modules to be reordered, shown or hidden per user.",P1,Growth,"Given an eligible user and valid starting state, when the ""Modular home dashboard"" workflow is exercised, ChessLab shall allow home modules to be reordered, shown or hidden per user; verify that success, validation failure, denied access, empty/loading state, persistence and analytics are covered on desktop and mobile.",S22
FR-010,Functional,Home & Personalization,Continue activity,"Surface active games, unfinished lessons, analysis drafts and branch conversations.",P0,Foundation,"Given an eligible user and valid starting state, when the ""Continue activity"" workflow is exercised, ChessLab shall surface active games, unfinished lessons, analysis drafts and branch conversations; verify that the result survives reload and a stale concurrent write returns an explicit conflict instead of silent loss.","S20,S08"
FR-011,Functional,Home & Personalization,Quick play launcher,Start a default game from the home surface in one action.,P0,Foundation,"Given an eligible user and valid starting state, when the ""Quick play launcher"" workflow is exercised, ChessLab shall start a default game from the home surface in one action; verify that success, validation failure, denied access, empty/loading state, persistence and analytics are covered on desktop and mobile.",S19
FR-012,Functional,Home & Personalization,Daily learning card,Offer a daily puzzle or lesson with streak credit and recovery state.,P1,Learning,"Given an eligible user and valid starting state, when the ""Daily learning card"" workflow is exercised, ChessLab shall offer a daily puzzle or lesson with streak credit and recovery state; verify that success, validation failure, denied access, empty/loading state, persistence and analytics are covered on desktop and mobile.",S10
FR-013,Functional,Home & Personalization,Progress pulse,"Summarize rating trends, accuracy, recent mistakes and recommended next action.",P1,Insights,"Given an eligible user and valid starting state, when the ""Progress pulse"" workflow is exercised, ChessLab shall summarize rating trends, accuracy, recent mistakes and recommended next action; verify that success, validation failure, denied access, empty/loading state, persistence and analytics are covered on desktop and mobile.","S23,S24,S25"
FR-014,Functional,Home & Personalization,Event discovery,Show current and upcoming broadcasts or tournaments relevant to the user.,P2,Community,"Given an eligible user and valid starting state, when the ""Event discovery"" workflow is exercised, ChessLab shall show current and upcoming broadcasts or tournaments relevant to the user; verify that empty, loading, no-result, permission-filtered and paginated states are covered.","S26,S15"
FR-015,Functional,Home & Personalization,Social inbox summary,"Aggregate friend requests, messages, club activity and notifications.",P2,Community,"Given an eligible user and valid starting state, when the ""Social inbox summary"" workflow is exercised, ChessLab shall aggregate friend requests, messages, club activity and notifications; verify that success, validation failure, denied access, empty/loading state, persistence and analytics are covered on desktop and mobile.","S28,S27"
FR-016,Functional,Home & Personalization,Streaks and habits,"Track consecutive active days across play, puzzles, lessons and review.",P2,Growth,"Given an eligible user and valid starting state, when the ""Streaks and habits"" workflow is exercised, ChessLab shall track consecutive active days across play, puzzles, lessons and review; verify that success, validation failure, denied access, empty/loading state, persistence and analytics are covered on desktop and mobile.",S10
FR-017,Functional,Live Play,Time control presets,"Support standard Bullet, Blitz, Rapid and custom initial-plus-increment clocks.",P0,Play,"Given an eligible user and valid starting state, when the ""Time control presets"" workflow is exercised, ChessLab shall support standard Bullet, Blitz, Rapid and custom initial-plus-increment clocks; verify that legal state, turn, clock or deadline, result and rating consequences are server-authoritative and consistent after reconnect.",S19
FR-018,Functional,Live Play,Rated or casual toggle,Allow rated and unrated challenges with clear consequences.,P0,Play,"Given an eligible user and valid starting state, when the ""Rated or casual toggle"" workflow is exercised, ChessLab shall allow rated and unrated challenges with clear consequences; verify that legal state, turn, clock or deadline, result and rating consequences are server-authoritative and consistent after reconnect.",S19
FR-019,Functional,Live Play,Rating range controls,Set relative opponent rating bounds and warn about queue impact.,P1,Play,"Given an eligible user and valid starting state, when the ""Rating range controls"" workflow is exercised, ChessLab shall set relative opponent rating bounds and warn about queue impact; verify that legal state, turn, clock or deadline, result and rating consequences are server-authoritative and consistent after reconnect.",S19
FR-020,Functional,Live Play,Fast matchmaking,"Search narrow first, expand safely, and respect blocks and abuse controls.",P0,Play,"Given an eligible user and valid starting state, when the ""Fast matchmaking"" workflow is exercised, ChessLab shall search narrow first, expand safely, and respect blocks and abuse controls; verify that legal state, turn, clock or deadline, result and rating consequences are server-authoritative and consistent after reconnect.","S19,S32"
FR-021,Functional,Live Play,Direct challenge,Challenge a friend or named user with shareable acceptance state.,P1,Play,"Given an eligible user and valid starting state, when the ""Direct challenge"" workflow is exercised, ChessLab shall challenge a friend or named user with shareable acceptance state; verify that legal state, turn, clock or deadline, result and rating consequences are server-authoritative and consistent after reconnect.",S28
FR-022,Functional,Live Play,Open challenge browser,List and chart public seeks with filters and instant acceptance.,P2,Play,"Given an eligible user and valid starting state, when the ""Open challenge browser"" workflow is exercised, ChessLab shall list and chart public seeks with filters and instant acceptance; verify that legal state, turn, clock or deadline, result and rating consequences are server-authoritative and consistent after reconnect.",S19
FR-023,Functional,Live Play,Real-time game workspace,"Render board, clocks, move list, player cards, status and game actions in sync.",P0,Play,"Given an eligible user and valid starting state, when the ""Real-time game workspace"" workflow is exercised, ChessLab shall render board, clocks, move list, player cards, status and game actions in sync; verify that legal state, turn, clock or deadline, result and rating consequences are server-authoritative and consistent after reconnect.",S19
FR-024,Functional,Live Play,Move entry methods,"Support click-click, drag, keyboard notation where accessible, and promotion choice.",P0,Play,"Given an eligible user and valid starting state, when the ""Move entry methods"" workflow is exercised, ChessLab shall support click-click, drag, keyboard notation where accessible, and promotion choice; verify that legal state, turn, clock or deadline, result and rating consequences are server-authoritative and consistent after reconnect.",S29
FR-025,Functional,Live Play,Premoves and confirmations,Offer premoves and optional move confirmation by game type and device.,P1,Play,"Given an eligible user and valid starting state, when the ""Premoves and confirmations"" workflow is exercised, ChessLab shall offer premoves and optional move confirmation by game type and device; verify that legal state, turn, clock or deadline, result and rating consequences are server-authoritative and consistent after reconnect.",S29
FR-026,Functional,Live Play,"Draw, resign, abort and timeout","Model all terminal states, permissions and rating consequences.",P0,Play,"Given an eligible user and valid starting state, when the ""Draw, resign, abort and timeout"" workflow is exercised, ChessLab shall model all terminal states, permissions and rating consequences; verify that legal state, turn, clock or deadline, result and rating consequences are server-authoritative and consistent after reconnect.",S31
FR-027,Functional,Live Play,Reconnect and clock authority,Resume transient disconnects while preserving server-authoritative clocks.,P0,Scale,"Given an eligible user and valid starting state, when the ""Reconnect and clock authority"" workflow is exercised, ChessLab shall resume transient disconnects while preserving server-authoritative clocks; verify that legal state, turn, clock or deadline, result and rating consequences are server-authoritative and consistent after reconnect.",S19
FR-028,Functional,Live Play,Focus mode,"Collapse distractions to board, clocks and essential actions.",P1,Play,"Given an eligible user and valid starting state, when the ""Focus mode"" workflow is exercised, ChessLab shall collapse distractions to board, clocks and essential actions; verify that legal state, turn, clock or deadline, result and rating consequences are server-authoritative and consistent after reconnect.",S29
FR-029,Functional,Live Play,Post-game hub,"Offer rematch, review, analysis, share, report and next-game actions.",P0,Play,"Given an eligible user and valid starting state, when the ""Post-game hub"" workflow is exercised, ChessLab shall offer rematch, review, analysis, share, report and next-game actions; verify that legal state, turn, clock or deadline, result and rating consequences are server-authoritative and consistent after reconnect.","S05,S21,S31"
FR-030,Functional,Daily & Correspondence,Days-per-move games,Support long-running games with per-move deadlines and multiple concurrent boards.,P1,Play,"Given an eligible user and valid starting state, when the ""Days-per-move games"" workflow is exercised, ChessLab shall support long-running games with per-move deadlines and multiple concurrent boards; verify that legal state, turn, clock or deadline, result and rating consequences are server-authoritative and consistent after reconnect.",S17
FR-031,Functional,Daily & Correspondence,Daily challenge filters,"Filter by move speed, minimum games, timeout history and membership.",P2,Play,"Given an eligible user and valid starting state, when the ""Daily challenge filters"" workflow is exercised, ChessLab shall filter by move speed, minimum games, timeout history and membership; verify that legal state, turn, clock or deadline, result and rating consequences are server-authoritative and consistent after reconnect.",S17
FR-032,Functional,Daily & Correspondence,Vacation state,Pause eligible clocks according to policy and expose remaining allowance.,P2,Play,"Given an eligible user and valid starting state, when the ""Vacation state"" workflow is exercised, ChessLab shall pause eligible clocks according to policy and expose remaining allowance; verify that legal state, turn, clock or deadline, result and rating consequences are server-authoritative and consistent after reconnect.",S17
FR-033,Functional,Daily & Correspondence,Conditional move trees,Let players pre-author multiple response lines while it is the opponent turn.,P2,Play,"Given an eligible user and valid starting state, when the ""Conditional move trees"" workflow is exercised, ChessLab shall let players pre-author multiple response lines while it is the opponent turn; verify that legal state, turn, clock or deadline, result and rating consequences are server-authoritative and consistent after reconnect.",S17
FR-034,Functional,Daily & Correspondence,Allowed study workspace,Permit non-engine self-analysis and opening reference only where policy allows.,P0,Trust,"Given an eligible user and valid starting state, when the ""Allowed study workspace"" workflow is exercised, ChessLab shall permit non-engine self-analysis and opening reference only where policy allows; verify that legal state, turn, clock or deadline, result and rating consequences are server-authoritative and consistent after reconnect.","S30,S31"
FR-035,Functional,Daily & Correspondence,Daily game notifications,"Send configurable turn, low-time, invitation and result reminders.",P1,Platform,"Given an eligible user and valid starting state, when the ""Daily game notifications"" workflow is exercised, ChessLab shall send configurable turn, low-time, invitation and result reminders; verify that legal state, turn, clock or deadline, result and rating consequences are server-authoritative and consistent after reconnect; delivery respects channel preferences, blocks, abuse controls and unread-state reconciliation.",S29
FR-036,Functional,Bots & Guided Coach,Bot catalog,"Browse opponents by level, style, theme and completion state.",P1,Coach,"Given an eligible user and valid starting state, when the ""Bot catalog"" workflow is exercised, ChessLab shall browse opponents by level, style, theme and completion state; verify that the displayed board, move history, score perspective, evidence version and explanation refer to the same immutable node; an ongoing human game is rejected before engine or coach execution.",S03
FR-037,Functional,Bots & Guided Coach,Bot profile,"Show estimated strength, behavior description, optional assistance and rewards.",P1,Coach,"Given an eligible user and valid starting state, when the ""Bot profile"" workflow is exercised, ChessLab shall show estimated strength, behavior description, optional assistance and rewards; verify that the displayed board, move history, score perspective, evidence version and explanation refer to the same immutable node; an ongoing human game is rejected before engine or coach execution.",S03
FR-038,Functional,Bots & Guided Coach,Adaptive opponent,Adjust challenge within bounded rules without misrepresenting calibrated human rating.,P2,Coach,"Given an eligible user and valid starting state, when the ""Adaptive opponent"" workflow is exercised, ChessLab shall adjust challenge within bounded rules without misrepresenting calibrated human rating; verify that the displayed board, move history, score perspective, evidence version and explanation refer to the same immutable node; an ongoing human game is rejected before engine or coach execution.",S03
FR-039,Functional,Bots & Guided Coach,Fixed engine opponent,Expose deterministic strength settings and search limits for practice.,P0,Coach,"Given an eligible user and valid starting state, when the ""Fixed engine opponent"" workflow is exercised, ChessLab shall expose deterministic strength settings and search limits for practice; verify that the displayed board, move history, score perspective, evidence version and explanation refer to the same immutable node; an ongoing human game is rejected before engine or coach execution.",S03
FR-040,Functional,Bots & Guided Coach,Coach setup,"Choose strength, side, coach persona and assistance preferences before play.",P0,Coach,"Given an eligible user and valid starting state, when the ""Coach setup"" workflow is exercised, ChessLab shall choose strength, side, coach persona and assistance preferences before play; verify that the displayed board, move history, score perspective, evidence version and explanation refer to the same immutable node; an ongoing human game is rejected before engine or coach execution.",S04
FR-041,Functional,Bots & Guided Coach,Move-by-move feedback,Explain move quality and strategic consequence after each move in guided games.,P0,Coach,"Given an eligible user and valid starting state, when the ""Move-by-move feedback"" workflow is exercised, ChessLab shall explain move quality and strategic consequence after each move in guided games; verify that the displayed board, move history, score perspective, evidence version and explanation refer to the same immutable node; an ongoing human game is rejected before engine or coach execution.",S04
FR-042,Functional,Bots & Guided Coach,Hints and progressive reveal,"Offer concept hint first, candidate region second, best move last.",P0,Coach,"Given an eligible user and valid starting state, when the ""Hints and progressive reveal"" workflow is exercised, ChessLab shall offer concept hint first, candidate region second, best move last; verify that the displayed board, move history, score perspective, evidence version and explanation refer to the same immutable node; an ongoing human game is rejected before engine or coach execution.",S04
FR-043,Functional,Bots & Guided Coach,Undo and retry,Allow learner-safe reversal without affecting competitive ratings.,P0,Coach,"Given an eligible user and valid starting state, when the ""Undo and retry"" workflow is exercised, ChessLab shall allow learner-safe reversal without affecting competitive ratings; verify that the displayed board, move history, score perspective, evidence version and explanation refer to the same immutable node; an ongoing human game is rejected before engine or coach execution.",S04
FR-044,Functional,Bots & Guided Coach,Threat and suggestion overlays,Render original visual arrows and highlights tied to verified board facts.,P1,Coach,"Given an eligible user and valid starting state, when the ""Threat and suggestion overlays"" workflow is exercised, ChessLab shall render original visual arrows and highlights tied to verified board facts; verify that the displayed board, move history, score perspective, evidence version and explanation refer to the same immutable node; an ongoing human game is rejected before engine or coach execution.",S04
FR-045,Functional,Bots & Guided Coach,Resume guided games,Persist coach and bot sessions across navigation and devices.,P1,Platform,"Given an eligible user and valid starting state, when the ""Resume guided games"" workflow is exercised, ChessLab shall persist coach and bot sessions across navigation and devices; verify that the displayed board, move history, score perspective, evidence version and explanation refer to the same immutable node; an ongoing human game is rejected before engine or coach execution; the result survives reload and a stale concurrent write returns an explicit conflict instead of silent loss.","S04,S35"
FR-046,Functional,Bots & Guided Coach,Custom-position practice,"Start bot or coach play from imported FEN, game node or constructed setup.",P1,Coach,"Given an eligible user and valid starting state, when the ""Custom-position practice"" workflow is exercised, ChessLab shall start bot or coach play from imported FEN, game node or constructed setup; verify that the displayed board, move history, score perspective, evidence version and explanation refer to the same immutable node; an ongoing human game is rejected before engine or coach execution.",S13
