id,title,publisher,date,capabilities_supported,requirements_supported,scope,url
S01,Chess.com User Agreement,Chess.com,2026,0,35,"AI access, copying, competitive-product and automated-access restrictions",https://www.chess.com/legal/user-agreement
S02,What is the PubAPI and how do I use it?,Chess.com Help Center,2026-04-20,4,39,"Read-only public API, data boundaries, rate behavior, brand and IP warning",https://support.chess.com/en/articles/9650547-what-is-the-pubapi-and-how-do-i-use-it
S03,How can I play against the Chess.com bots?,Chess.com Help Center,2026-08,6,6,"Bot roster, adaptive personalities, unrated games, Komodo-powered experience",https://support.chess.com/en/articles/8614091-how-can-i-play-against-the-chess-com-bots
S04,How do I play against the Coach?,Chess.com Help Center,2026-04-17,10,10,"Live coaching flow, hints, undo, arrows, evaluation, autosave and limits",https://support.chess.com/en/articles/10877257-how-do-i-play-against-the-coach
S05,How does Game Review work?,Chess.com Help Center,2026-08-07,8,8,"Highlights, coach feedback, key moves, retries, settings and review navigation",https://support.chess.com/en/articles/8584089-how-does-game-review-work
S06,How do I use Game Analysis?,Chess.com Help Center,2025-03-12,5,5,"Self-analysis, engine lines, arrows, charts, annotations and saves",https://support.chess.com/en/articles/8583757-how-do-i-use-game-analysis
S07,What is Cloud Analysis and how do I use it?,Chess.com Help Center,2025-03-19,5,5,"Server-side deeper analysis, membership gating and engine controls",https://support.chess.com/en/articles/8646880-what-is-cloud-analysis-and-how-do-i-use-it
S08,How do I use Game Collections?,Chess.com Help Center,2026-04-18,7,7,"Collections, privacy, collaboration, community collections and bookmarks",https://support.chess.com/en/articles/13557248-how-do-i-use-game-collections
S09,What is the Game Explorer?,Chess.com Help Center,2025-07-30,2,2,"Master database, personal games, move frequency, outcomes and notable games",https://support.chess.com/en/articles/8615183-what-is-the-game-explorer
S10,How do Puzzles work on Chess.com?,Chess.com Help Center,2026-09,13,13,"Rated puzzles, Rush, Battle, Daily, Custom, limits and histories",https://support.chess.com/en/articles/8608686-how-do-puzzles-work-on-chess-com
S11,What is Puzzle Battle on Chess.com?,Chess.com Help Center,2025-06-24,1,1,"Competitive tactics, matchmaking, timing, mistakes and scoring",https://support.chess.com/en/articles/8708930-what-is-puzzle-battle-on-chess-com
S12,How do Lessons work on Chess.com?,Chess.com Help Center,2026-07-13,7,7,"Learning path, lesson library, interactive challenges and membership access",https://support.chess.com/en/articles/8609703-how-do-lessons-work-on-chess-com
S13,What is Practice on Chess.com?,Chess.com Help Center,2026-07-11,6,6,"Openings, master games, drills, custom positions and mobile differences",https://support.chess.com/en/articles/8724749-what-is-practice-on-chess-com
S14,How do I practice Endgames?,Chess.com Help Center,2025-11-13,2,2,"Endgame categories, challenge, practice, learn and leaderboards",https://support.chess.com/en/articles/8708978-how-do-i-practice-endgames
S15,How do live tournaments work?,Chess.com Help Center,2025-09-04,5,5,"Live tournament discovery, Arena, Swiss, schedule and lobby states",https://support.chess.com/en/articles/8608949-how-do-live-tournaments-work-where-can-i-join-one
S16,How do Daily Tournaments work on Chess.com?,Chess.com Help Center,2026-08,2,2,"Turn-based groups, rounds, joining and progression",https://support.chess.com/en/articles/8609725-how-do-daily-tournaments-work-on-chess-com
S17,What is Daily Chess?,Chess.com Help Center,2025-12-02,4,4,"Days-per-move play, concurrent games, ratings and assistance restrictions",https://support.chess.com/en/articles/8588171-what-is-daily-chess
S18,How do I play chess variants?,Chess.com Help Center,2025-09-04,3,3,"Variants lobby, challenges, analysis, arenas, archive and web-only limits",https://support.chess.com/en/articles/8583983-how-do-i-play-chess-variants
S19,How does matchmaking work in Live Chess?,Chess.com Help Center,2025-04-04,9,9,"Rating windows, search expansion and pairing factors",https://support.chess.com/en/articles/8639319-how-does-matchmaking-work-in-live-chess
S20,How do I view my own games?,Chess.com Help Center,2026-08,5,5,"Game history, filters, bulk actions, archives and mobile differences",https://support.chess.com/en/articles/8598090-how-do-i-view-my-own-games
S21,How do I get a PGN of my game?,Chess.com Help Center,2026-02-10,5,5,"Single and bulk export, timestamps, annotations and analysis",https://support.chess.com/en/articles/8705305-how-do-i-get-a-pgn-of-my-game
S22,How can I change my homepage?,Chess.com Help Center,2025-02-18,1,1,Dashboard customization and module visibility,https://support.chess.com/en/articles/8652316-how-can-i-change-my-homepage
S23,How can I see my opening stats?,Chess.com Help Center,2026-01-08,3,3,"Opening performance, filters, continuations and mini-board",https://support.chess.com/en/articles/8705347-how-can-i-see-my-opening-stats
S24,What is Insights on Chess.com?,Chess.com Help Center,2026-01-27,4,4,"Background analysis, filters, performance patterns and premium gating",https://support.chess.com/en/articles/8708925-what-is-insights-on-chess-com
S25,How do I use Advanced Stats?,Chess.com Help Center,2026-08,2,2,"Phase ratings, strengths, weaknesses and brilliant-move archive",https://support.chess.com/en/articles/15451190-how-do-i-use-advanced-stats
S26,What is ChessTV?,Chess.com Help Center,2024-12-23,8,8,"Integrated viewing, streamers, events, playing now and schedules",https://support.chess.com/en/articles/8709044-what-is-chesstv
S27,How do Chess.com clubs work?,Chess.com Help Center,2025-06-25,7,7,"Clubs, forums, matches, vote chess, roles and administration",https://support.chess.com/en/articles/8718710-how-do-chess-com-clubs-work
S28,How do I open a chat window with my friend?,Chess.com Help Center,2026-07-23,6,6,"Persistent chat windows, groups, blocking and navigation continuity",https://support.chess.com/en/articles/8614138-how-do-i-open-a-chat-window-with-my-friend
S29,How do I manage my settings?,Chess.com Help Center,2025-12-24,18,18,"Board, gameplay, profile, membership, notifications and cross-surface settings",https://support.chess.com/en/articles/8615285-how-do-i-manage-my-settings
S30,What counts as cheating on Chess.com?,Chess.com Help Center,2025-07-23,4,39,"Live, Daily, puzzle and bot assistance boundaries",https://support.chess.com/en/articles/8583921-what-counts-as-cheating-on-chess-com
S31,What do I need to know about Fair Play?,Chess.com Help Center,2026-07-08,13,48,"Rules, common violations, reports and account actions",https://support.chess.com/en/articles/8568369-what-do-i-need-to-know-about-fair-play-on-chess-com
S32,What is safe mode on Chess.com?,Chess.com Help Center,2025-10-01,9,9,"Disabling messages, chats and comments",https://support.chess.com/en/articles/8614033-what-is-safe-mode-on-chess-com
S33,Improve Your Chess with a Premium Membership,Chess.com,2026,11,11,Premium value proposition and major entitlements,https://www.chess.com/membership
S34,Friends and Family Plan FAQ,Chess.com Help Center,2026-09,1,1,"Six-person Diamond family plan, roles and entitlements",https://support.chess.com/en/articles/10067907-friends-family-plan-faq
S35,Does Chess.com have an app?,Chess.com Help Center,2026-07-07,4,4,"iOS, Android and direct Android distribution",https://support.chess.com/en/articles/9855741-does-chess-com-have-an-app
S36,How do I play variants on the Chess.com app?,Chess.com Help Center,2026-04-17,2,2,Web/mobile capability mismatch for variants,https://support.chess.com/en/articles/9836648-how-do-i-play-variants-on-the-chess-com-app
S37,ChessLab Product Context,praxstack/ChessLab,2026-09-07,18,53,"Branch-native tutor vision, current build direction, domain vocabulary and open decisions",https://github.com/praxstack/ChessLab/blob/main/CONTEXT.md
S38,ChessLab Application Verification,praxstack/ChessLab,2026-09-07,2,2,"Current implementation evidence, test results, corrected bugs and unverified gaps",https://github.com/praxstack/ChessLab/blob/main/docs/application-verification.md
